procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 473668 378756 3957344    0    0     0     0 1401  729 25  0 75  0  0 2023-04-02 08:03:42
 1  0  91848 473668 378756 3957344    0    0     0     0 1333  593 25  0 75  0  0 2023-04-02 08:03:43
 1  0  91848 473668 378760 3957344    0    0     0    16 1355  605 25  0 75  0  0 2023-04-02 08:03:44
 1  0  91848 473668 378760 3957344    0    0     0     0 1543  981 25  0 75  0  0 2023-04-02 08:03:45
 1  0  91848 473416 378760 3957344    0    0     0     0 2396 2800 25  1 74  0  0 2023-04-02 08:03:46
 3  0  91848 473416 378760 3957344    0    0     0     0 2085 2191 25  0 75  0  0 2023-04-02 08:03:47
 1  0  91848 473448 378760 3957344    0    0     0     0 2343 2626 25  1 74  0  0 2023-04-02 08:03:48
 1  0  91848 473448 378764 3957344    0    0     0    16 1565 1076 25  0 75  0  0 2023-04-02 08:03:49
 1  0  91848 473448 378764 3957344    0    0     0     0 1333  581 25  0 75  0  0 2023-04-02 08:03:50
 1  0  91848 473448 378764 3957340    0    0     0     0 1808 1579 25  0 75  0  0 2023-04-02 08:03:51
 1  0  91848 473448 378764 3957340    0    0     0     0 1330  601 25  0 75  0  0 2023-04-02 08:03:52
 1  0  91848 473448 378764 3957344    0    0     0    16 1601 1209 25  0 75  0  0 2023-04-02 08:03:53
 1  0  91848 473448 378768 3957344    0    0     0    16 1328  594 25  0 75  0  0 2023-04-02 08:03:54
 1  0  91848 473448 378768 3957344    0    0     0     0 1338  585 25  0 75  0  0 2023-04-02 08:03:55
 1  0  91848 473448 378768 3957344    0    0     0     0 1367  639 25  0 75  0  0 2023-04-02 08:03:56
 1  0  91848 473448 378768 3957344    0    0     0     0 1397  709 25  0 75  0  0 2023-04-02 08:03:57
 1  0  91848 471416 378768 3957344    0    0     0     0 1596 1073 25  0 75  0  0 2023-04-02 08:03:58
 1  0  91848 473480 378772 3957344    0    0     0    16 1414  717 25  0 75  0  0 2023-04-02 08:03:59
 1  0  91848 473480 378772 3957344    0    0     0     0 1760 1482 25  0 75  0  0 2023-04-02 08:04:00
 1  0  91848 473480 378772 3957348    0    0     0     0 1733 1356 25  0 75  0  0 2023-04-02 08:04:01
 1  0  91848 473480 378772 3957348    0    0     0     0 1726 1358 25  0 75  0  0 2023-04-02 08:04:02
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 473480 378772 3957360    0    0     0     8 1405  719 25  0 75  0  0 2023-04-02 08:04:03
 1  0  91848 473480 378776 3957360    0    0     0    24 1361  641 25  0 75  0  0 2023-04-02 08:04:04
 1  0  91848 473480 378776 3957360    0    0     0     0 1329  577 25  0 75  0  0 2023-04-02 08:04:05
 1  0  91848 473480 378776 3957360    0    0     0     4 1337  595 25  0 75  0  0 2023-04-02 08:04:06
 1  0  91848 473480 378776 3957360    0    0     0     0 1959 1835 25  1 74  0  0 2023-04-02 08:04:07
 1  0  91848 471448 378776 3957364    0    0     0     0 1344  621 25  0 75  0  0 2023-04-02 08:04:08
 1  0  91848 473512 378776 3957364    0    0     0    16 1337  618 25  0 75  0  0 2023-04-02 08:04:09
 1  0  91848 473512 378776 3957364    0    0     0     0 1427  776 25  0 75  0  0 2023-04-02 08:04:10
 1  0  91848 473512 378776 3957364    0    0     0     0 1394  698 25  0 75  0  0 2023-04-02 08:04:11
 1  0  91848 473512 378776 3957364    0    0     0     0 1346  614 25  0 75  0  0 2023-04-02 08:04:12
 1  0  91848 473512 378776 3957364    0    0     0     0 1387  695 25  0 75  0  0 2023-04-02 08:04:13
 1  0  91848 473512 378784 3957364    0    0     0    16 1336  606 25  0 75  0  0 2023-04-02 08:04:14
 1  0  91848 473512 378784 3957368    0    0     0     0 1823 1647 25  0 75  0  0 2023-04-02 08:04:15
 3  0  91848 473512 378784 3957368    0    0     0     0 1452  757 26  0 74  0  0 2023-04-02 08:04:16
 1  0  91848 473512 378784 3957368    0    0     0     0 1531  974 25  0 75  0  0 2023-04-02 08:04:17
 1  0  91848 471472 378784 3957360    0    0     0     0 1353  623 25  0 75  0  0 2023-04-02 08:04:18
 1  0  91848 473528 378788 3957360    0    0     0    16 1421  781 25  0 75  0  0 2023-04-02 08:04:19
 1  0  91848 473528 378788 3957360    0    0     0     0 1573 1074 25  0 75  0  0 2023-04-02 08:04:20
 1  0  91848 473528 378788 3957360    0    0     0     0 1495  915 25  0 75  0  0 2023-04-02 08:04:21
 1  0  91848 473528 378788 3957360    0    0     0     0 1390  711 25  0 75  0  0 2023-04-02 08:04:22
 1  0  91848 473528 378788 3957360    0    0     0     0 1361  640 25  0 75  0  0 2023-04-02 08:04:23
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0  91848 473528 378792 3957356    0    0     0    16 1348  610 25  0 75  0  0 2023-04-02 08:04:24
 1  0  91848 473528 378792 3957360    0    0     0     0 1396  715 25  0 75  0  0 2023-04-02 08:04:25
 1  0  91848 473528 378792 3957360    0    0     0     0 1329  595 25  0 75  0  0 2023-04-02 08:04:26
 1  0  91848 473528 378792 3957360    0    0     0     0 1395  729 25  0 75  0  0 2023-04-02 08:04:27
 1  0  91848 473528 378792 3957360    0    0     0     0 1319  585 25  0 75  0  0 2023-04-02 08:04:28
 1  0  91848 471488 378796 3957360    0    0     0    28 1397  725 25  0 75  0  0 2023-04-02 08:04:29
 1  0  91848 471488 378796 3957360    0    0     0     0 1356  631 25  0 75  0  0 2023-04-02 08:04:30
 1  0  91848 473544 378796 3957360    0    0     0     0 1523  938 25  0 75  0  0 2023-04-02 08:04:31
 3  0  91848 473544 378796 3957360    0    0     0     0 1536  952 25  0 74  0  0 2023-04-02 08:04:33
 1  0  91848 473544 378796 3957360    0    0     0     0 1386  695 25  0 75  0  0 2023-04-02 08:04:34
 3  0  91848 473544 378804 3957368    0    0     0    24 1353  623 25  0 75  0  0 2023-04-02 08:04:35
 1  0  91848 473544 378804 3957368    0    0     0     0 1333  586 25  0 75  0  0 2023-04-02 08:04:36
