procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0  91848 472872 379164 3957604    0    0     0     0  388  707  0  0 100  0  0 2023-04-02 08:10:12
 0  0  91848 472872 379164 3957604    0    0     0     0  642 1126  0  0 99  0  0 2023-04-02 08:10:13
 0  0  91848 472872 379164 3957604    0    0     0     0  396  729  0  0 100  0  0 2023-04-02 08:10:14
 0  0  91848 472872 379168 3957608    0    0     0    16  344  592  0  0 100  0  0 2023-04-02 08:10:15
 5  0  91848 472872 379168 3957608    0    0     0     0  511  763  2  0 97  0  0 2023-04-02 08:10:16
 0  0  91848 470832 379168 3957608    0    0     0     0  785 1127  3  0 96  0  0 2023-04-02 08:10:17
 0  0  91848 472888 379168 3957608    0    0     0     0  611 1039  0  1 99  0  0 2023-04-02 08:10:18
 0  0  91848 472888 379168 3957608    0    0     0     0  408  744  0  0 99  0  0 2023-04-02 08:10:19
 0  0  91848 472888 379176 3957608    0    0     0    16  365  653  0  0 100  0  0 2023-04-02 08:10:20
 0  0  91848 472888 379176 3957608    0    0     0     8  372  686  0  0 100  0  0 2023-04-02 08:10:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 472888 379176 3957620    0    0     0     0  360  650  0  0 100  0  0 2023-04-02 08:10:22
 1  0  91848 472888 379176 3957620    0    0     0    12  382  717  0  0 100  0  0 2023-04-02 08:10:23
 0  0  91848 472888 379176 3957620    0    0     0     0  443  795  0  0 99  0  0 2023-04-02 08:10:24
 0  0  91848 472888 379184 3957620    0    0     0    36  407  736  0  0 99  0  0 2023-04-02 08:10:25
 1  0  91848 472888 379184 3957620    0    0     0     0  335  614  0  0 100  0  0 2023-04-02 08:10:26
 0  0  91848 472888 379184 3957620    0    0     0     0  420  760  0  1 99  0  0 2023-04-02 08:10:27
 0  0  91848 472888 379184 3957620    0    0     0     0  581 1044  0  0 100  0  0 2023-04-02 08:10:28
 0  0  91848 472888 379184 3957620    0    0     0     0  329  603  0  0 100  0  0 2023-04-02 08:10:29
 0  0  91848 472888 379192 3957620    0    0     0    40  454  813  0  0 99  0  0 2023-04-02 08:10:30
 0  0  91848 472888 379192 3957620    0    0     0     0  476  832  0  0 100  0  0 2023-04-02 08:10:31
 0  0  91848 472888 379192 3957624    0    0     0     0  531  955  0  0 100  0  0 2023-04-02 08:10:32
 0  0  91848 472888 379192 3957624    0    0     0     0  369  700  0  0 100  0  0 2023-04-02 08:10:33
 0  0  91848 472888 379192 3957624    0    0     0     0  331  596  0  0 100  0  0 2023-04-02 08:10:34
 0  0  91848 472888 379200 3957616    0    0     0    16  396  713  0  0 99  0  0 2023-04-02 08:10:35
 0  0  91848 472888 379200 3957616    0    0     0     0  342  612  0  0 100  0  0 2023-04-02 08:10:36
 1  0  91848 472888 379200 3957616    0    0     0     0  643 1114  1  0 99  0  0 2023-04-02 08:10:37
 0  0  91848 472888 379200 3957616    0    0     0     0  652 1182  1  0 99  0  0 2023-04-02 08:10:38
 1  0  91848 472888 379200 3957616    0    0     0     0  355  624  1  0 99  0  0 2023-04-02 08:10:39
 1  0  91848 472888 379208 3957616    0    0     0    16  484  786  1  0 99  0  0 2023-04-02 08:10:40
 0  0  91848 472888 379208 3957616    0    0     0     0  602  734  5  0 95  0  0 2023-04-02 08:10:41
 0  0  91848 472888 379208 3957616    0    0     0     0  671 1184  0  0 99  0  0 2023-04-02 08:10:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 472888 379208 3957620    0    0     0     0  367  681  0  0 100  0  0 2023-04-02 08:10:43
 0  0  91848 472888 379208 3957620    0    0     0     0  382  724  1  0 99  0  0 2023-04-02 08:10:44
 0  0  91848 472888 379212 3957616    0    0     0    16 1095 1900  1  1 99  0  0 2023-04-02 08:10:45
 0  0  91848 472888 379212 3957620    0    0     0     0  409  735  0  0 100  0  0 2023-04-02 08:10:46
